cod_departamento,departamento,valor,CIIU_ID_CIIU_4_V
"11,""BOGOTA, D.C."",""32"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"13,""BOLIVAR"",""4"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"20,""CESAR"",""49"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"23,""CORDOBA"",""38"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"23,""CORDOBA"",""3"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"44,""LA GUAJIRA"",""1"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"50,""META"",""2"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"94,""GUAINIA"",""2"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"95,""GUAVIARE"",""6"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"08,""ATLANTICO"",""8"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"15,""BOYACA"",""71"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"17,""CALDAS"",""39"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"18,""CAQUETA"",""10"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"27,""CHOCO"",""15"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"50,""META"",""45"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"05,""ANTIOQUIA"",""171"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"17,""CALDAS"",""1"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"41,""HUILA"",""35"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"47,""MAGDALENA"",""29"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"63,""QUINDIO"",""4"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"68,""SANTANDER"",""71"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"73,""TOLIMA"",""54"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"73,""TOLIMA"",""3"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"08,""ATLANTICO"",""82"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"19,""CAUCA"",""27"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"52,""NARINO"",""25"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"66,""RISARALDA"",""14"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"76,""VALLE DEL CAUCA"",""12"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"85,""CASANARE"",""2"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"11,""BOGOTA, D.C."",""312"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"13,""BOLIVAR"",""47"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"25,""CUNDINAMARCA"",""9"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"41,""HUILA"",""2"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"54,""NORTE DE SANTANDER"",""7"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"68,""SANTANDER"",""12"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"70,""SUCRE"",""2"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"76,""VALLE DEL CAUCA"",""83"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"15,""BOYACA"",""20"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"19,""CAUCA"",""6"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"20,""CESAR"",""1"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"66,""RISARALDA"",""2"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"05,""ANTIOQUIA"",""27"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"86,""PUTUMAYO"",""12"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"25,""CUNDINAMARCA"",""124"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"44,""LA GUAJIRA"",""11"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"47,""MAGDALENA"",""3"",""Extraccion de arcillas de uso industrial, caliza, caolin y bentonitas"","
"54,""NORTE DE SANTANDER"",""40"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"70,""SUCRE"",""11"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"81,""ARAUCA"",""18"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
"85,""CASANARE"",""49"",""Extraccion de piedra, arena, arcillas comunes, yeso y anhidrita"","
